"","TP","TN","FP","FN","Accuracy","Sensitivity","Specificity","PPV","NPV"
"External test cohort 2.csv.iRPM",24,23,1,23,"0.662(0.546~0.761)","0.511(0.372~0.647)","0.958(0.798~0.998)","0.96(0.805~0.998)","0.5(0.361~0.639)"
"Prospective test cohort.csv.RadiologyT",35,21,6,20,"0.683(0.576~0.774)","0.636(0.504~0.751)","0.778(0.592~0.894)","0.854(0.716~0.931)","0.512(0.365~0.657)"
"Prospective test cohort.csv.RadiologyTL",34,24,3,21,"0.707(0.601~0.795)","0.618(0.486~0.735)","0.889(0.719~0.961)","0.919(0.787~0.972)","0.533(0.391~0.671)"
"Prospective test cohort.csv.Pathology",29,11,16,26,"0.488(0.383~0.594)","0.527(0.398~0.653)","0.407(0.245~0.593)","0.644(0.498~0.768)","0.297(0.175~0.458)"
"Prospective test cohort.csv.SCLM.a",55,0,27,0,"0.671(0.563~0.763)","1(0.935~1)","0(0~0.125)","0.671(0.563~0.763)","NaN(NaN~NaN)"
"Prospective test cohort.csv.SCLM.b",55,0,27,0,"0.671(0.563~0.763)","1(0.935~1)","0(0~0.125)","0.671(0.563~0.763)","NaN(NaN~NaN)"
"Prospective test cohort.csv.SCLM.c",55,0,27,0,"0.671(0.563~0.763)","1(0.935~1)","0(0~0.125)","0.671(0.563~0.763)","NaN(NaN~NaN)"
"Prospective test cohort.csv.SCLM.d",42,19,8,13,"0.744(0.64~0.826)","0.764(0.637~0.856)","0.704(0.515~0.841)","0.84(0.715~0.917)","0.594(0.423~0.745)"
"Prospective test cohort.csv.SCLM.e",42,17,10,13,"0.72(0.614~0.805)","0.764(0.637~0.856)","0.63(0.442~0.785)","0.808(0.681~0.892)","0.567(0.392~0.726)"
"Prospective test cohort.csv.SCLM.f",33,23,4,22,"0.683(0.576~0.774)","0.6(0.468~0.719)","0.852(0.675~0.941)","0.892(0.753~0.957)","0.511(0.37~0.65)"
"Prospective test cohort.csv.Pathology.a",34,15,12,21,"0.598(0.489~0.697)","0.618(0.486~0.735)","0.556(0.373~0.724)","0.739(0.597~0.844)","0.417(0.271~0.578)"
"Prospective test cohort.csv.Pathology.b",31,6,21,24,"0.451(0.348~0.559)","0.564(0.433~0.686)","0.222(0.106~0.408)","0.596(0.461~0.718)","0.2(0.095~0.373)"
"Prospective test cohort.csv.Pathology.c",35,12,15,20,"0.573(0.465~0.675)","0.636(0.504~0.751)","0.444(0.276~0.627)","0.7(0.562~0.809)","0.375(0.229~0.547)"
"Prospective test cohort.csv.Concatenate",37,14,13,18,"0.622(0.514~0.719)","0.673(0.541~0.782)","0.519(0.34~0.693)","0.74(0.604~0.841)","0.438(0.282~0.607)"
"Prospective test cohort.csv.iRadiologyTL",34,21,6,21,"0.671(0.563~0.763)","0.618(0.486~0.735)","0.778(0.592~0.894)","0.85(0.709~0.929)","0.5(0.355~0.645)"
"Prospective test cohort.csv.iPathology",33,10,17,22,"0.524(0.418~0.629)","0.6(0.468~0.719)","0.37(0.215~0.558)","0.66(0.522~0.776)","0.312(0.18~0.486)"
"Prospective test cohort.csv.iSCLM",41,21,6,14,"0.756(0.653~0.836)","0.745(0.617~0.842)","0.778(0.592~0.894)","0.872(0.748~0.94)","0.6(0.436~0.744)"
"Prospective test cohort.csv.iRPM",39,20,7,16,"0.72(0.614~0.805)","0.709(0.579~0.812)","0.741(0.553~0.868)","0.848(0.718~0.924)","0.556(0.396~0.705)"
